product_id,warehouse_region,stock_on_hand,last_restock_date,snapshot_date
49,South,469,2026-05-30,2026-08-07
50,Central,328,2026-06-21,2026-08-07
51,North,268,2026-07-06,2026-08-07
52,North,429,2026-06-23,2026-08-07
53,North,483,2026-08-01,2026-08-07
54,North,391,2026-06-24,2026-08-07
55,North,211,2026-05-25,2026-08-07
56,South,431,2026-05-30,2026-08-07
57,South,34,2026-07-28,2026-08-07
58,South,4,2026-06-17,2026-08-07
59,South,258,2026-07-06,2026-08-07
60,West,191,2026-05-22,2026-08-07
61,North,316,2026-07-25,2026-08-07
62,Central,467,2026-07-04,2026-08-07
63,West,337,2026-07-27,2026-08-07
64,West,8,2026-07-22,2026-08-07
65,North,272,2026-05-26,2026-08-07
66,Central,210,2026-07-08,2026-08-07
67,North,8,2026-07-12,2026-08-07
68,Central,369,2026-06-27,2026-08-07
69,East,274,2026-06-03,2026-08-07
70,East,8,2026-05-25,2026-08-07
71,Central,416,2026-07-18,2026-08-07
72,West,412,2026-07-14,2026-08-07
73,South,54,2026-06-11,2026-08-07
74,North,268,2026-08-06,2026-08-07
75,South,123,2026-06-22,2026-08-07
76,South,317,2026-07-05,2026-08-07
77,Central,129,2026-07-05,2026-08-07
78,East,136,2026-05-15,2026-08-07
79,West,40,2026-05-31,2026-08-07
80,East,491,2026-06-14,2026-08-07
81,West,235,2026-06-15,2026-08-07
82,Central,124,2026-05-21,2026-08-07
83,South,153,2026-05-19,2026-08-07
84,North,334,2026-05-10,2026-08-07
85,North,47,2026-05-28,2026-08-07
86,West,194,2026-06-28,2026-08-07
87,West,282,2026-07-31,2026-08-07
88,West,28,2026-08-05,2026-08-07
89,North,359,2026-06-26,2026-08-07
90,South,42,2026-07-14,2026-08-07
91,West,432,2026-06-18,2026-08-07
92,West,330,2026-07-28,2026-08-07
93,East,289,2026-05-23,2026-08-07
94,North,458,2026-07-06,2026-08-07
95,Central,470,2026-05-18,2026-08-07
96,North,117,2026-05-26,2026-08-07
97,South,461,2026-06-24,2026-08-07
98,Central,243,2026-08-04,2026-08-07
99,East,23,2026-07-07,2026-08-07
100,North,350,2026-07-06,2026-08-07
101,East,460,2026-05-12,2026-08-07
102,Central,288,2026-08-02,2026-08-07
103,North,91,2026-07-24,2026-08-07
104,East,8,2026-06-29,2026-08-07
105,South,300,2026-06-26,2026-08-07
106,South,385,2026-07-21,2026-08-07
107,West,475,2026-05-20,2026-08-07
108,North,153,2026-05-18,2026-08-07
109,South,288,2026-06-24,2026-08-07
110,South,290,2026-07-12,2026-08-07
111,West,346,2026-05-21,2026-08-07
112,Central,169,2026-08-04,2026-08-07
113,West,386,2026-07-06,2026-08-07
114,South,404,2026-06-30,2026-08-07
115,North,256,2026-07-28,2026-08-07
116,East,27,2026-05-09,2026-08-07
117,North,223,2026-08-04,2026-08-07
118,South,429,2026-07-23,2026-08-07
119,North,174,2026-07-13,2026-08-07
120,Central,393,2026-07-11,2026-08-07
121,Central,488,2026-06-19,2026-08-07
122,Central,203,2026-06-28,2026-08-07
123,East,15,2026-06-18,2026-08-07
124,East,401,2026-06-13,2026-08-07
125,West,251,2026-08-01,2026-08-07
126,South,182,2026-05-13,2026-08-07
127,Central,481,2026-07-15,2026-08-07
128,West,221,2026-06-29,2026-08-07
129,South,348,2026-06-19,2026-08-07
130,Central,338,2026-05-31,2026-08-07
131,West,43,2026-07-25,2026-08-07
132,Central,151,2026-06-24,2026-08-07
133,South,365,2026-07-24,2026-08-07
134,North,42,2026-07-22,2026-08-07
135,East,78,2026-06-15,2026-08-07
136,West,364,2026-06-12,2026-08-07
137,South,378,2026-07-05,2026-08-07
138,West,162,2026-07-26,2026-08-07
139,East,54,2026-07-19,2026-08-07
140,North,2,2026-08-05,2026-08-07
141,East,227,2026-07-21,2026-08-07
142,East,389,2026-07-29,2026-08-07
143,East,52,2026-07-15,2026-08-07
144,South,44,2026-07-03,2026-08-07
145,South,220,2026-05-18,2026-08-07
146,West,285,2026-06-19,2026-08-07
147,Central,262,2026-05-21,2026-08-07
148,West,52,2026-06-02,2026-08-07
149,North,45,2026-06-24,2026-08-07
150,East,283,2026-07-22,2026-08-07
