return_id,order_id,product_id,return_date,reason,quantity_returned
47,1512,9,2026-04-27,Other,1
48,1196,130,2026-05-13,Wrong Item,1
49,3457,131,2026-05-18,Defective,4
50,2105,115,2026-04-03,Wrong Item,1
51,3724,111,2026-03-08,Wrong Item,3
52,1985,63,2026-07-07,Wrong Item,1
53,142,43,2026-05-07,Wrong Item,4
54,1017,19,2026-02-28,Late Delivery,3
55,3916,60,2026-03-03,Defective,2
56,3573,85,2026-03-28,Other,1
57,3457,113,2026-05-14,No Longer Needed,4
58,1608,9,2026-05-15,No Longer Needed,4
59,2760,143,2026-03-24,Defective,1
60,2449,62,2026-06-10,No Longer Needed,3
61,1541,49,2026-03-06,Late Delivery,2
62,215,81,2026-02-13,Wrong Item,3
63,3586,59,2026-02-27,Defective,5
64,1662,148,2026-07-01,Late Delivery,2
65,1221,48,2026-02-18,Other,1
66,2484,119,2026-07-19,Late Delivery,1
67,1172,1,2026-02-21,Wrong Item,1
68,463,37,2026-05-15,No Longer Needed,4
69,3555,30,2026-06-19,Defective,1
70,3127,143,2026-02-13,Defective,1
71,2793,97,2026-03-14,Late Delivery,1
72,2288,128,2026-04-23,Late Delivery,5
73,2530,138,2026-06-05,Late Delivery,1
74,230,125,2026-06-19,Late Delivery,1
75,3952,41,2026-04-12,No Longer Needed,2
76,1530,103,2026-03-09,Late Delivery,1
77,3254,32,2026-04-07,Defective,1
78,1263,8,2026-06-08,No Longer Needed,3
79,1764,27,2026-06-09,No Longer Needed,4
80,331,42,2026-02-26,Other,1
81,2042,36,2026-07-05,Late Delivery,5
82,586,43,2026-02-22,Wrong Item,2
83,539,122,2026-06-16,Late Delivery,3
84,1941,96,2026-07-03,Late Delivery,8
85,1750,30,2026-05-19,Other,6
86,2548,65,2026-07-07,Wrong Item,3
87,374,117,2026-05-14,No Longer Needed,1
88,2541,18,2026-07-11,Other,8
89,428,13,2026-05-09,Defective,1
90,516,116,2026-03-19,Wrong Item,4
91,964,43,2026-04-06,Other,2
92,2436,96,2026-06-16,Defective,4
93,88,41,2026-05-15,Wrong Item,1
94,9,55,2026-05-14,Wrong Item,3
95,3359,13,2026-05-17,Defective,2
96,3289,109,2026-03-30,Defective,4
97,502,108,2026-05-24,No Longer Needed,1
98,871,12,2026-04-15,Other,4
99,2734,146,2026-07-15,No Longer Needed,3
100,197,124,2026-07-24,Defective,2
101,66,28,2026-05-23,Late Delivery,9
102,3664,30,2026-05-25,Other,6
103,1844,44,2026-02-11,No Longer Needed,1
104,2506,143,2026-07-06,Other,1
105,1975,143,2026-02-14,Late Delivery,2
106,731,85,2026-05-02,Defective,1
107,691,87,2026-07-28,Late Delivery,3
108,3002,1,2026-08-04,Other,4
109,1159,66,2026-03-03,Late Delivery,6
110,1327,85,2026-04-23,Wrong Item,5
111,3811,31,2026-05-06,Wrong Item,1
112,3331,113,2026-04-10,Late Delivery,6
113,2226,59,2026-07-23,No Longer Needed,3
114,3018,97,2026-04-22,Defective,4
115,2198,85,2026-05-04,Other,1
116,577,103,2026-05-08,Wrong Item,1
117,2767,139,2026-02-14,Defective,2
118,3284,75,2026-02-14,No Longer Needed,5
119,1342,134,2026-03-14,Other,2
120,1337,6,2026-05-27,Defective,1
121,2990,112,2026-06-16,No Longer Needed,7
122,2426,105,2026-07-25,No Longer Needed,4
123,824,76,2026-07-09,Other,1
124,1801,19,2026-04-07,Defective,3
125,2202,124,2026-07-29,No Longer Needed,3
126,1520,137,2026-06-25,Wrong Item,5
127,3028,136,2026-03-11,Defective,1
128,2237,84,2026-05-14,Defective,1
129,3798,34,2026-05-02,No Longer Needed,2
130,709,99,2026-03-06,Other,2
131,3869,129,2026-04-09,Defective,1
132,1060,131,2026-06-26,Other,3
133,119,58,2026-04-24,Wrong Item,4
134,3990,72,2026-05-13,Other,4
135,2036,77,2026-07-06,Late Delivery,5
136,263,37,2026-03-01,No Longer Needed,1
137,421,126,2026-05-29,Other,1
138,544,11,2026-06-19,No Longer Needed,1
139,1137,149,2026-05-14,Late Delivery,4
140,86,66,2026-06-16,Wrong Item,1
141,2490,74,2026-05-26,Defective,1
142,602,90,2026-06-21,No Longer Needed,4
143,1601,88,2026-05-23,Defective,3
144,739,115,2026-05-30,Wrong Item,2
145,1369,148,2026-05-10,Other,6
146,2029,13,2026-05-11,Other,2
147,898,94,2026-05-28,Late Delivery,1
148,1527,131,2026-07-23,Late Delivery,7
149,1028,72,2026-03-10,Defective,3
150,3378,31,2026-05-17,No Longer Needed,7
151,1517,100,2026-02-18,Other,5
152,1452,13,2026-04-24,Other,7
153,454,28,2026-03-31,Other,6
154,1007,85,2026-05-15,Late Delivery,4
155,2242,141,2026-06-02,Late Delivery,8
156,3165,53,2026-04-22,Other,2
157,1361,37,2026-06-07,Other,2
158,722,16,2026-06-19,Wrong Item,5
159,2051,135,2026-04-17,Wrong Item,2
160,432,123,2026-07-06,Late Delivery,3
161,2803,120,2026-04-04,No Longer Needed,5
162,2353,96,2026-04-11,Other,2
163,1447,148,2026-02-19,Defective,2
164,1995,40,2026-02-13,Other,1
165,3537,119,2026-06-02,Wrong Item,6
166,2281,92,2026-02-16,Defective,2
167,2148,23,2026-03-04,Other,1
168,2269,100,2026-07-20,Wrong Item,2
169,1488,48,2026-04-20,Late Delivery,2
170,2380,5,2026-04-16,Wrong Item,1
171,1072,120,2026-07-15,Late Delivery,1
172,1729,34,2026-07-02,Other,7
173,2354,128,2026-06-01,Wrong Item,2
174,3063,41,2026-02-13,Defective,6
175,918,73,2026-07-06,No Longer Needed,3
176,778,71,2026-07-31,Defective,1
177,2001,61,2026-06-09,Other,1
178,2258,65,2026-04-15,Wrong Item,5
179,2884,107,2026-04-22,Wrong Item,4
180,254,115,2026-02-26,Other,4
181,3641,69,2026-05-02,Wrong Item,1
182,3000,92,2026-04-16,Other,8
183,3742,68,2026-04-18,Wrong Item,1
184,1101,37,2026-04-28,Other,1
185,3876,24,2026-04-17,Defective,1
186,802,81,2026-02-18,Wrong Item,1
187,71,3,2026-06-16,Late Delivery,3
188,1198,11,2026-03-27,Other,2
189,3629,65,2026-03-28,Late Delivery,1
190,3337,47,2026-03-25,Other,3
191,571,110,2026-06-13,Wrong Item,3
192,160,100,2026-04-09,Other,2
193,2546,33,2026-06-03,Wrong Item,5
194,2978,117,2026-02-24,Other,1
195,2898,62,2026-08-03,Wrong Item,1
196,251,40,2026-06-21,Wrong Item,1
197,1124,2,2026-02-20,No Longer Needed,2
198,3895,4,2026-07-26,Defective,1
199,3745,102,2026-04-08,Defective,5
200,1214,46,2026-03-02,Defective,2
201,1718,12,2026-04-14,Wrong Item,5
202,172,5,2026-03-12,Late Delivery,2
203,884,100,2026-02-11,Other,1
204,2543,43,2026-05-23,Other,1
205,2040,41,2026-04-12,Defective,2
206,997,5,2026-02-15,Wrong Item,1
207,1683,69,2026-05-08,No Longer Needed,7
208,3245,5,2026-06-15,Late Delivery,1
209,1597,146,2026-07-25,Wrong Item,4
210,2035,11,2026-05-01,Defective,1
211,3858,127,2026-05-29,Defective,2
212,1762,59,2026-05-18,No Longer Needed,1
213,3614,5,2026-08-02,Defective,6
214,1982,84,2026-04-30,Defective,1
215,2020,49,2026-03-31,Other,1
216,2960,107,2026-02-11,Other,7
217,2460,20,2026-06-23,Late Delivery,2
218,1546,27,2026-05-10,Other,1
219,200,86,2026-06-02,No Longer Needed,2
220,1677,60,2026-02-12,Defective,1
221,2589,139,2026-04-10,Defective,7
222,400,111,2026-04-22,No Longer Needed,1
223,1968,63,2026-05-29,No Longer Needed,1
224,1950,68,2026-04-24,Wrong Item,6
225,960,39,2026-04-11,No Longer Needed,1
226,2691,92,2026-05-30,Defective,1
227,1317,48,2026-02-26,Wrong Item,4
228,1927,9,2026-07-14,Late Delivery,6
229,62,122,2026-05-13,No Longer Needed,2
230,1156,25,2026-02-27,Other,1
231,618,9,2026-06-22,Late Delivery,8
232,590,110,2026-06-19,Wrong Item,6
233,3864,44,2026-03-19,Other,5
234,1917,94,2026-04-14,Other,1
235,3853,35,2026-05-15,Other,4
236,1292,101,2026-05-16,No Longer Needed,4
237,2935,125,2026-07-15,Wrong Item,1
238,452,95,2026-07-06,Defective,2
239,1558,148,2026-06-17,Defective,3
240,1178,128,2026-04-14,Defective,2
241,3963,36,2026-03-12,No Longer Needed,4
242,3934,94,2026-06-07,Other,1
243,859,6,2026-04-07,Defective,3
244,1603,31,2026-04-19,No Longer Needed,8
245,3848,45,2026-05-03,Defective,1
246,205,131,2026-03-19,No Longer Needed,4
247,3740,115,2026-05-15,No Longer Needed,1
248,1895,102,2026-06-11,Wrong Item,1
249,3316,45,2026-07-22,Other,1
250,2066,108,2026-07-10,Wrong Item,4
251,3707,32,2026-02-22,Wrong Item,9
252,1049,7,2026-07-21,Wrong Item,3
253,2209,18,2026-07-23,Late Delivery,3
254,3474,110,2026-05-23,Other,2
255,3157,64,2026-03-21,No Longer Needed,1
256,1457,104,2026-04-04,Wrong Item,6
257,1211,87,2026-03-31,No Longer Needed,2
258,1535,90,2026-02-17,Defective,3
259,472,25,2026-04-06,Other,5
260,1522,129,2026-05-30,Late Delivery,4
261,1367,26,2026-04-27,No Longer Needed,3
262,3479,84,2026-07-14,Wrong Item,6
263,2100,72,2026-03-23,Late Delivery,1
264,1687,77,2026-06-09,No Longer Needed,5
265,1694,103,2026-07-02,No Longer Needed,5
266,3780,83,2026-02-25,No Longer Needed,1
267,1946,45,2026-06-27,Defective,1
268,1459,113,2026-07-21,No Longer Needed,2
269,77,21,2026-05-31,Late Delivery,2
270,2616,132,2026-02-26,Defective,4
271,951,17,2026-06-02,Late Delivery,1
272,2220,80,2026-04-14,Late Delivery,8
273,203,98,2026-04-02,Late Delivery,5
274,2775,25,2026-02-21,Late Delivery,1
275,1696,146,2026-05-28,Late Delivery,1
276,2547,35,2026-07-13,Defective,2
277,2139,54,2026-05-22,Defective,1
278,1113,6,2026-05-11,Late Delivery,3
279,2300,66,2026-05-01,No Longer Needed,1
280,1691,11,2026-03-20,Late Delivery,3
281,2472,118,2026-04-16,Other,1
282,781,99,2026-07-12,Other,6
283,3190,33,2026-02-22,Late Delivery,3
284,290,62,2026-06-14,Defective,3
285,715,22,2026-07-17,Other,3
286,2754,61,2026-04-07,Defective,4
287,1807,149,2026-05-16,Late Delivery,2
288,3141,92,2026-07-14,Defective,3
289,47,5,2026-04-07,No Longer Needed,2
290,3294,136,2026-05-03,Late Delivery,2
291,1984,38,2026-06-16,Defective,3
292,3400,70,2026-05-23,No Longer Needed,9
293,1064,63,2026-04-09,Defective,2
294,3962,83,2026-03-18,No Longer Needed,1
295,3994,28,2026-04-29,Other,4
296,742,51,2026-04-27,Late Delivery,4
297,1314,85,2026-03-28,Wrong Item,3
298,778,16,2026-06-09,Wrong Item,1
299,447,16,2026-05-19,Wrong Item,2
300,2259,49,2026-05-07,No Longer Needed,1
